name,year,week,team,opponent,attempts,yds,tds,fl,run,game
chris carson,2019,2,SEA,PIT,15,60,0,1,55,34
chris carson,2019,3,SEA,NOR,15,52,0,1,45,35
chris carson,2019,4,SEA,ARI,22,104,0,0,76,36
chris carson,2019,5,SEA,LAR,27,118,0,0,85,37
chris carson,2019,6,SEA,CLE,24,124,1,0,79,38
chris carson,2019,7,SEA,BAL,21,65,0,0,89,39
chris carson,2019,8,SEA,ATL,20,90,1,0,68,40
chris carson,2019,9,SEA,TAM,16,105,0,1,85,41
chris carson,2019,10,SEA,SFO,25,89,1,0,96,42
chris carson,2019,12,SEA,PHI,8,26,0,0,51,43
chris carson,2019,13,SEA,MIN,23,102,1,0,52,44
chris carson,2019,14,SEA,LAR,15,76,0,0,83,45
chris carson,2019,15,SEA,CAR,24,133,2,0,76,46
chris carson,2019,16,SEA,ARI,8,40,0,0,32,47
chris carson,2019,17,SEA,SFO,0,0,0,0,0,48
chris carson,2020,1,SEA,ATL,6,21,0,0,45,49
chris carson,2020,2,SEA,NWE,17,72,0,0,63,50
chris carson,2020,3,SEA,DAL,14,64,0,0,58,51
chris carson,2020,4,SEA,MIA,16,80,2,0,56,52
chris carson,2020,5,SEA,MIN,8,52,1,0,57,53
chris carson,2020,7,SEA,ARI,5,34,0,0,18,54
chris carson,2020,8,SEA,SFO,0,0,0,0,0,55
chris carson,2020,9,SEA,BUF,0,0,0,0,0,56
chris carson,2020,10,SEA,LAR,0,0,0,0,0,57
chris carson,2020,11,SEA,ARI,0,0,0,0,0,58
chris carson,2020,12,SEA,PHI,8,41,1,0,37,59
chris carson,2020,13,SEA,NYG,13,65,0,0,58,60
chris carson,2020,14,SEA,NYJ,12,76,1,0,45,61
chris carson,2020,15,SEA,WAS,15,63,0,0,70,62
chris carson,2020,16,SEA,LAR,16,69,0,0,63,63
chris carson,2020,17,SEA,SFO,11,44,0,0,46,64
chris carson,2021,1,SEA,IND,16,91,0,1,78,65
chris carson,2021,2,SEA,TEN,13,31,2,0,63,66
chris carson,2021,3,SEA,MIN,12,80,1,0,43,67
chris carson,2021,4,SEA,SFO,13,30,0,0,45,68
chris carson,2021,5,SEA,LAR,0,0,0,0,0,69
chris carson,2021,6,SEA,PIT,0,0,0,0,0,70
chris carson,2021,7,SEA,NOR,0,0,0,0,0,71
chris carson,2021,8,SEA,JAX,0,0,0,0,0,72
chris carson,2021,10,SEA,GNB,0,0,0,0,0,73
chris carson,2021,11,SEA,ARI,0,0,0,0,0,74
chris carson,2021,12,SEA,WAS,0,0,0,0,0,75
chris carson,2021,13,SEA,SFO,0,0,0,0,0,76
darrell henderson,2019,1,LAR,CAR,1,0,0,0,3,1
darrell henderson,2019,2,LAR,NOR,0,0,0,0,0,2
darrell henderson,2019,3,LAR,CLE,0,0,0,0,0,3
darrell henderson,2019,4,LAR,TAM,0,0,0,0,0,4
darrell henderson,2019,5,LAR,SEA,0,0,0,0,0,5
darrell henderson,2019,6,LAR,SFO,6,39,0,0,33,6
darrell henderson,2019,7,LAR,ATL,11,31,0,0,34,7
darrell henderson,2019,8,LAR,CIN,11,49,0,0,47,8
darrell henderson,2019,10,LAR,PIT,4,4,0,0,11,9
darrell henderson,2019,11,LAR,CHI,0,0,0,0,6,10
darrell henderson,2019,12,LAR,BAL,0,0,0,0,0,11
darrell henderson,2019,13,LAR,ARI,4,17,0,0,9,12
darrell henderson,2019,14,LAR,SEA,0,0,0,0,0,13
darrell henderson,2019,15,LAR,DAL,0,0,0,0,0,14
darrell henderson,2019,16,LAR,SFO,2,7,0,0,3,15
darrell henderson,2019,17,LAR,ARI,0,0,0,0,0,16
darrell henderson,2020,1,LAR,DAL,3,6,0,0,7,17
darrell henderson,2020,2,LAR,PHI,12,81,1,0,42,18
darrell henderson,2020,3,LAR,BUF,20,114,1,0,49,19
darrell henderson,2020,4,LAR,NYG,8,21,0,0,39,20
darrell henderson,2020,5,LAR,WAS,15,38,1,0,43,21
darrell henderson,2020,6,LAR,SFO,14,88,0,0,53,22
darrell henderson,2020,7,LAR,CHI,15,63,0,0,56,23
darrell henderson,2020,8,LAR,MIA,8,47,0,0,19,24
darrell henderson,2020,10,LAR,SEA,7,28,1,0,33,25
darrell henderson,2020,11,LAR,TAM,8,5,0,0,46,26
darrell henderson,2020,12,LAR,SFO,10,19,0,0,32,27
darrell henderson,2020,13,LAR,ARI,3,49,1,0,21,28
darrell henderson,2020,14,LAR,NWE,2,5,0,0,11,29
darrell henderson,2020,15,LAR,NYJ,1,-2,0,0,12,30
darrell henderson,2020,16,LAR,SEA,12,62,0,0,41,31
darrell henderson,2020,17,LAR,ARI,0,0,0,0,0,32
darrell henderson,2021,1,LAR,CHI,16,70,1,0,94,33
darrell henderson,2021,2,LAR,IND,13,53,1,0,68,34
darrell henderson,2021,3,LAR,TAM,0,0,0,0,0,35
darrell henderson,2021,4,LAR,ARI,14,89,0,0,90,36
darrell henderson,2021,5,LAR,SEA,17,82,1,0,66,37
darrell henderson,2021,6,LAR,NYG,21,78,1,0,82,38
darrell henderson,2021,7,LAR,DET,15,45,0,0,88,39
darrell henderson,2021,8,LAR,HOU,14,90,1,0,61,40
darrell henderson,2021,9,LAR,TEN,11,55,0,0,60,41
darrell henderson,2021,10,LAR,SFO,5,31,0,0,75,42
darrell henderson,2021,12,LAR,GNB,16,55,0,0,81,43
darrell henderson,2021,13,LAR,JAX,0,0,0,0,0,44
eli mitchell,2021,1,SFO,DET,19,104,1,0,64,1
eli mitchell,2021,2,SFO,PHI,17,42,0,0,61,2
eli mitchell,2021,5,SFO,ARI,9,43,0,0,68,3
eli mitchell,2021,7,SFO,IND,18,107,1,0,66,4
eli mitchell,2021,8,SFO,CHI,18,137,1,0,64,5
eli mitchell,2021,9,SFO,ARI,8,36,0,0,66,6
eli mitchell,2021,10,SFO,LAR,27,91,0,0,53,7
eli mitchell,2021,12,SFO,MIN,27,133,1,0,70,8
eli mitchell,2021,13,SFO,SEA,22,66,1,0,84,9
james conner,2017,1,PIT,CLE,4,11,0,0,13,1
james conner,2017,2,PIT,MIN,1,9,0,0,5,2
james conner,2017,3,PIT,CHI,0,0,0,0,0,3
james conner,2017,4,PIT,BAL,4,26,0,0,8,4
james conner,2017,5,PIT,JAX,3,9,0,0,8,5
james conner,2017,6,PIT,KAN,2,14,0,0,8,6
james conner,2017,7,PIT,CIN,3,19,0,0,9,7
james conner,2017,8,PIT,DET,1,1,0,0,6,8
james conner,2017,10,PIT,IND,1,12,0,0,2,9
james conner,2017,11,PIT,TEN,5,12,0,0,11,10
james conner,2017,12,PIT,GNB,0,0,0,0,1,11
james conner,2017,13,PIT,CIN,3,12,0,0,5,12
james conner,2017,14,PIT,BAL,2,6,0,0,8,13
james conner,2017,15,PIT,NWE,3,13,0,0,14,14
james conner,2017,16,PIT,HOU,0,0,0,0,0,15
james conner,2017,17,PIT,CLE,0,0,0,0,0,16
james conner,2018,1,PIT,CLE,31,135,2,1,92,17
james conner,2018,2,PIT,KAN,8,17,1,0,88,18
james conner,2018,3,PIT,TAM,15,61,0,0,85,19
james conner,2018,4,PIT,BAL,9,19,0,0,79,20
james conner,2018,5,PIT,ATL,21,110,2,0,74,21
james conner,2018,6,PIT,CIN,19,111,2,0,90,22
james conner,2018,8,PIT,CLE,24,146,2,0,79,23
james conner,2018,9,PIT,BAL,24,107,0,0,84,24
james conner,2018,10,PIT,CAR,13,65,1,0,40,25
james conner,2018,11,PIT,JAX,9,25,0,0,89,26
james conner,2018,12,PIT,DEN,13,53,0,1,86,27
james conner,2018,13,PIT,LAC,15,60,2,0,72,28
james conner,2018,14,PIT,LVR,0,0,0,0,0,29
james conner,2018,15,PIT,NWE,0,0,0,0,0,30
james conner,2018,16,PIT,NOR,0,0,0,0,0,31
james conner,2018,17,PIT,CIN,14,64,0,0,47,32
james conner,2019,1,PIT,NWE,10,21,0,0,46,33
james conner,2019,2,PIT,SEA,11,33,1,0,55,34
james conner,2019,3,PIT,SFO,13,43,0,1,68,35
james conner,2019,4,PIT,CIN,10,42,0,0,66,36
james conner,2019,5,PIT,BAL,14,55,1,0,79,37
james conner,2019,6,PIT,LAC,16,41,1,0,49,38
james conner,2019,8,PIT,MIA,23,145,1,0,82,39
james conner,2019,9,PIT,IND,0,0,0,0,0,40
james conner,2019,10,PIT,LAR,0,0,0,0,0,41
james conner,2019,11,PIT,CLE,5,10,0,0,18,42
james conner,2019,12,PIT,CIN,0,0,0,0,0,43
james conner,2019,13,PIT,CLE,0,0,0,0,0,44
james conner,2019,14,PIT,ARI,0,0,0,0,0,45
james conner,2019,15,PIT,BUF,8,42,0,0,58,46
james conner,2019,16,PIT,NYJ,6,32,0,0,13,47
james conner,2019,17,PIT,BAL,0,0,0,0,0,48
james conner,2020,1,PIT,NYG,6,9,0,0,23,49
james conner,2020,2,PIT,DEN,16,106,1,0,77,50
james conner,2020,3,PIT,HOU,18,109,1,0,66,51
james conner,2020,5,PIT,PHI,15,44,1,0,62,52
james conner,2020,6,PIT,CLE,20,101,1,0,66,53
james conner,2020,7,PIT,TEN,20,82,0,0,84,54
james conner,2020,8,PIT,BAL,15,47,1,0,57,55
james conner,2020,9,PIT,DAL,9,22,0,0,46,56
james conner,2020,10,PIT,CIN,13,36,0,0,88,57
james conner,2020,11,PIT,JAX,13,89,0,0,69,58
james conner,2020,12,PIT,BAL,0,0,0,0,0,59
james conner,2020,13,PIT,WAS,0,0,0,0,0,60
james conner,2020,14,PIT,BUF,10,18,0,0,40,61
james conner,2020,15,PIT,CIN,0,0,0,0,0,62
james conner,2020,16,PIT,IND,5,21,1,0,62,63
james conner,2020,17,PIT,CLE,9,37,0,0,64,64
james conner,2021,1,ARI,TEN,16,53,0,0,49,65
james conner,2021,2,ARI,MIN,8,26,0,0,39,66
james conner,2021,3,ARI,JAX,11,43,2,0,37,67
james conner,2021,4,ARI,LAR,18,50,2,0,42,68
james conner,2021,5,ARI,SFO,10,29,1,0,48,69
james conner,2021,6,ARI,CLE,16,71,0,0,55,70
james conner,2021,7,ARI,HOU,10,64,1,0,30,71
james conner,2021,8,ARI,GNB,5,22,2,0,37,72
james conner,2021,9,ARI,SFO,21,96,2,0,77,73
james conner,2021,10,ARI,CAR,10,39,1,0,82,74
james conner,2021,11,ARI,SEA,21,62,1,0,82,75
james conner,2021,13,ARI,CHI,20,75,0,0,91,76
leonard fournette,2017,1,JAX,HOU,26,100,1,0,61,1
leonard fournette,2017,2,JAX,TEN,14,40,1,0,60,2
leonard fournette,2017,3,JAX,BAL,17,59,1,0,51,3
leonard fournette,2017,4,JAX,NYJ,24,86,0,0,50,4
leonard fournette,2017,5,JAX,PIT,28,181,2,0,72,5
leonard fournette,2017,6,JAX,LAR,21,130,1,0,59,6
leonard fournette,2017,7,JAX,IND,0,0,0,0,0,7
leonard fournette,2017,9,JAX,CIN,0,0,0,0,0,8
leonard fournette,2017,10,JAX,LAC,17,33,0,0,54,9
leonard fournette,2017,11,JAX,CLE,28,111,0,0,67,10
leonard fournette,2017,12,JAX,ARI,12,25,0,0,44,11
leonard fournette,2017,13,JAX,IND,20,57,1,0,78,12
leonard fournette,2017,14,JAX,SEA,24,101,1,0,76,13
leonard fournette,2017,15,JAX,HOU,0,0,0,0,0,14
leonard fournette,2017,16,JAX,SFO,18,48,1,0,56,15
leonard fournette,2017,17,JAX,TEN,19,69,0,0,87,16
leonard fournette,2018,1,JAX,NYG,9,41,0,0,33,17
leonard fournette,2018,2,JAX,NWE,0,0,0,0,0,18
leonard fournette,2018,3,JAX,TEN,0,0,0,0,0,19
leonard fournette,2018,4,JAX,NYJ,11,30,0,0,31,20
leonard fournette,2018,5,JAX,KAN,0,0,0,0,0,21
leonard fournette,2018,6,JAX,DAL,0,0,0,0,0,22
leonard fournette,2018,7,JAX,HOU,0,0,0,0,0,23
leonard fournette,2018,8,JAX,PHI,0,0,0,0,0,24
leonard fournette,2018,10,JAX,IND,24,53,1,0,52,25
leonard fournette,2018,11,JAX,PIT,28,95,1,0,51,26
leonard fournette,2018,12,JAX,BUF,18,95,2,0,44,27
leonard fournette,2018,13,JAX,IND,0,0,0,0,0,28
leonard fournette,2018,14,JAX,TEN,14,36,0,0,77,29
leonard fournette,2018,15,JAX,WAS,11,46,0,0,50,30
leonard fournette,2018,16,JAX,MIA,18,43,1,0,73,31
leonard fournette,2018,17,JAX,HOU,0,0,0,0,0,32
leonard fournette,2019,1,JAX,KAN,13,66,0,1,86,33
leonard fournette,2019,2,JAX,HOU,15,47,0,0,97,34
leonard fournette,2019,3,JAX,TEN,15,66,0,0,100,35
leonard fournette,2019,4,JAX,DEN,29,225,0,0,84,36
leonard fournette,2019,5,JAX,CAR,23,108,1,0,92,37
leonard fournette,2019,6,JAX,NOR,20,72,0,0,95,38
leonard fournette,2019,7,JAX,CIN,29,131,0,0,90,39
leonard fournette,2019,8,JAX,NYJ,19,76,0,0,78,40
leonard fournette,2019,9,JAX,HOU,11,40,0,0,83,41
leonard fournette,2019,11,JAX,IND,8,23,0,0,71,42
leonard fournette,2019,12,JAX,TEN,24,97,2,0,95,43
leonard fournette,2019,13,JAX,TAM,14,38,0,0,91,44
leonard fournette,2019,14,JAX,LAC,15,50,0,0,77,45
leonard fournette,2019,15,JAX,LVR,15,42,0,0,96,46
leonard fournette,2019,16,JAX,ATL,15,71,0,0,94,47
leonard fournette,2019,17,JAX,IND,0,0,0,0,0,48
leonard fournette,2020,1,TAM,NOR,5,5,0,0,13,49
leonard fournette,2020,2,TAM,CAR,12,103,2,0,43,50
leonard fournette,2020,3,TAM,DEN,7,15,0,0,37,51
leonard fournette,2020,4,TAM,LAC,0,0,0,0,0,52
leonard fournette,2020,5,TAM,CHI,0,0,0,0,1,53
leonard fournette,2020,6,TAM,GNB,0,0,0,0,0,54
leonard fournette,2020,7,TAM,LVR,11,50,0,0,56,55
leonard fournette,2020,8,TAM,NYG,15,52,0,0,73,56
leonard fournette,2020,9,TAM,NOR,1,0,0,0,66,57
leonard fournette,2020,10,TAM,CAR,8,19,0,0,36,58
leonard fournette,2020,11,TAM,LAR,7,17,1,0,52,59
leonard fournette,2020,12,TAM,KAN,3,10,0,0,56,60
leonard fournette,2020,14,TAM,MIN,0,0,0,0,0,61
leonard fournette,2020,15,TAM,ATL,14,49,2,0,66,62
leonard fournette,2020,16,TAM,DET,9,34,1,0,32,63
leonard fournette,2020,17,TAM,ATL,5,13,0,0,45,64
leonard fournette,2021,1,TAM,DAL,9,32,0,0,65,65
leonard fournette,2021,2,TAM,ATL,11,52,0,0,49,66
leonard fournette,2021,3,TAM,LAR,4,8,0,0,36,67
leonard fournette,2021,4,TAM,NWE,20,92,0,0,82,68
leonard fournette,2021,5,TAM,MIA,12,67,1,0,62,69
leonard fournette,2021,6,TAM,PHI,22,81,2,0,63,70
leonard fournette,2021,7,TAM,CHI,15,81,1,0,53,71
leonard fournette,2021,8,TAM,NOR,8,26,0,0,61,72
leonard fournette,2021,10,TAM,WAS,11,47,0,0,65,73
leonard fournette,2021,11,TAM,NYG,10,35,0,0,59,74
leonard fournette,2021,12,TAM,IND,17,100,3,0,81,75
leonard fournette,2021,13,TAM,ATL,13,44,0,0,87,76
alvin kamara,2017,1,NOR,MIN,7,18,0,0,50,1
alvin kamara,2017,2,NOR,NWE,1,3,0,0,26,2
alvin kamara,2017,3,NOR,CAR,2,37,1,0,29,3
alvin kamara,2017,4,NOR,MIA,5,25,0,0,35,4
alvin kamara,2017,6,NOR,DET,10,75,0,0,44,5
alvin kamara,2017,7,NOR,GNB,9,57,0,0,49,6
alvin kamara,2017,8,NOR,CHI,8,28,1,0,51,7
alvin kamara,2017,9,NOR,TAM,10,68,1,1,43,8
alvin kamara,2017,10,NOR,BUF,12,106,1,0,38,9
alvin kamara,2017,11,NOR,WAS,8,42,0,0,65,10
alvin kamara,2017,12,NOR,LAR,5,87,1,0,56,11
alvin kamara,2017,13,NOR,CAR,9,60,2,0,58,12
alvin kamara,2017,14,NOR,ATL,1,2,0,0,12,13
alvin kamara,2017,15,NOR,NYJ,12,44,0,0,48,14
alvin kamara,2017,16,NOR,ATL,12,32,0,0,58,15
alvin kamara,2017,17,NOR,TAM,9,44,1,0,53,16
alvin kamara,2018,1,NOR,TAM,8,29,2,0,81,17
alvin kamara,2018,2,NOR,CLE,13,46,0,0,77,18
alvin kamara,2018,3,NOR,ATL,16,66,0,0,85,19
alvin kamara,2018,4,NOR,NYG,19,134,3,0,84,20
alvin kamara,2018,5,NOR,WAS,6,24,0,0,47,21
alvin kamara,2018,7,NOR,BAL,17,64,1,0,55,22
alvin kamara,2018,8,NOR,MIN,13,45,1,0,72,23
alvin kamara,2018,9,NOR,LAR,19,82,2,0,58,24
alvin kamara,2018,10,NOR,CIN,12,56,2,0,45,25
alvin kamara,2018,11,NOR,PHI,13,71,0,0,63,26
alvin kamara,2018,12,NOR,ATL,14,89,0,0,65,27
alvin kamara,2018,13,NOR,DAL,11,36,0,0,69,28
alvin kamara,2018,14,NOR,TAM,12,51,0,0,64,29
alvin kamara,2018,15,NOR,CAR,14,67,1,0,64,30
alvin kamara,2018,16,NOR,PIT,7,23,2,0,61,31
alvin kamara,2018,17,NOR,CAR,0,0,0,0,0,32
alvin kamara,2019,1,NOR,HOU,13,97,0,0,76,33
alvin kamara,2019,2,NOR,LAR,13,45,0,0,63,34
alvin kamara,2019,3,NOR,SEA,16,69,1,0,88,35
alvin kamara,2019,4,NOR,DAL,17,69,0,0,79,36
alvin kamara,2019,5,NOR,TAM,16,62,0,0,68,37
alvin kamara,2019,6,NOR,JAX,11,31,0,0,59,38
alvin kamara,2019,7,NOR,CHI,0,0,0,0,0,39
alvin kamara,2019,8,NOR,ARI,0,0,0,0,0,40
alvin kamara,2019,10,NOR,ATL,4,24,0,0,79,41
alvin kamara,2019,11,NOR,TAM,13,75,0,0,63,42
alvin kamara,2019,12,NOR,CAR,11,54,0,0,67,43
alvin kamara,2019,13,NOR,ATL,11,61,0,0,82,44
alvin kamara,2019,14,NOR,SFO,13,25,0,1,76,45
alvin kamara,2019,15,NOR,IND,14,66,0,0,63,46
alvin kamara,2019,16,NOR,TEN,11,80,2,0,63,47
alvin kamara,2019,17,NOR,CAR,8,39,2,0,41,48
alvin kamara,2020,1,NOR,TAM,12,16,1,0,66,49
alvin kamara,2020,2,NOR,LVR,13,79,2,0,68,50
alvin kamara,2020,3,NOR,GNB,6,58,0,0,67,51
alvin kamara,2020,4,NOR,DET,19,83,1,0,67,52
alvin kamara,2020,5,NOR,LAC,11,45,0,0,76,53
alvin kamara,2020,7,NOR,CAR,14,83,0,0,73,54
alvin kamara,2020,8,NOR,CHI,12,67,0,0,78,55
alvin kamara,2020,9,NOR,TAM,9,40,1,0,51,56
alvin kamara,2020,10,NOR,SFO,8,15,2,0,66,57
alvin kamara,2020,11,NOR,ATL,13,45,1,0,49,58
alvin kamara,2020,12,NOR,DEN,11,54,0,0,48,59
alvin kamara,2020,13,NOR,ATL,15,88,1,0,62,60
alvin kamara,2020,14,NOR,PHI,11,50,1,0,71,61
alvin kamara,2020,15,NOR,KAN,11,54,0,0,73,62
alvin kamara,2020,16,NOR,MIN,22,155,6,0,60,63
alvin kamara,2020,17,NOR,CAR,0,0,0,0,0,64
alvin kamara,2021,1,NOR,GNB,20,83,0,0,73,65
alvin kamara,2021,2,NOR,CAR,8,5,0,0,84,66
alvin kamara,2021,3,NOR,NWE,24,89,0,0,84,67
alvin kamara,2021,4,NOR,NYG,26,120,0,0,87,68
alvin kamara,2021,5,NOR,WAS,16,71,1,0,88,69
alvin kamara,2021,7,NOR,SEA,20,51,0,0,82,70
alvin kamara,2021,8,NOR,TAM,19,61,1,0,67,71
alvin kamara,2021,9,NOR,ATL,13,50,1,0,68,72
alvin kamara,2021,10,NOR,TEN,0,0,0,0,0,73
alvin kamara,2021,11,NOR,PHI,0,0,0,0,0,74
alvin kamara,2021,12,NOR,BUF,0,0,0,0,0,75
alvin kamara,2021,13,NOR,DAL,0,0,0,0,0,76
christian mccafferey,2017,1,CAR,SFO,13,47,0,1,70,1
christian mccafferey,2017,2,CAR,BUF,8,10,0,0,64,2
christian mccafferey,2017,3,CAR,NOR,4,16,0,0,69,3
christian mccafferey,2017,4,CAR,NWE,6,16,0,0,76,4
christian mccafferey,2017,5,CAR,DET,3,7,0,0,56,5
christian mccafferey,2017,6,CAR,PHI,4,8,0,0,74,6
christian mccafferey,2017,7,CAR,CHI,7,10,0,0,74,7
christian mccafferey,2017,8,CAR,TAM,4,3,0,0,58,8
christian mccafferey,2017,9,CAR,ATL,15,66,1,0,82,9
christian mccafferey,2017,10,CAR,MIA,5,23,1,0,58,10
christian mccafferey,2017,12,CAR,NYJ,7,62,0,0,69,11
christian mccafferey,2017,13,CAR,NOR,6,16,0,0,70,12
christian mccafferey,2017,14,CAR,MIN,8,35,0,0,67,13
christian mccafferey,2017,15,CAR,GNB,12,63,0,0,69,14
christian mccafferey,2017,16,CAR,TAM,9,39,0,0,80,15
christian mccafferey,2017,17,CAR,ATL,6,14,0,0,85,16
christian mccafferey,2018,1,CAR,DAL,10,50,0,1,85,17
christian mccafferey,2018,2,CAR,ATL,8,37,0,0,94,18
christian mccafferey,2018,3,CAR,CIN,28,184,0,0,100,19
christian mccafferey,2018,5,CAR,NYG,17,58,0,0,97,20
christian mccafferey,2018,6,CAR,WAS,8,20,0,0,100,21
christian mccafferey,2018,7,CAR,PHI,7,29,0,0,100,22
christian mccafferey,2018,8,CAR,BAL,14,45,1,0,98,23
christian mccafferey,2018,9,CAR,TAM,17,79,2,0,98,24
christian mccafferey,2018,10,CAR,PIT,14,77,1,0,95,25
christian mccafferey,2018,11,CAR,DET,13,53,0,0,100,26
christian mccafferey,2018,12,CAR,SEA,17,125,1,0,100,27
christian mccafferey,2018,13,CAR,TAM,10,106,0,0,100,28
christian mccafferey,2018,14,CAR,CLE,16,63,2,0,100,29
christian mccafferey,2018,15,CAR,NOR,15,53,0,0,100,30
christian mccafferey,2018,16,CAR,ATL,21,101,0,0,90,31
christian mccafferey,2018,17,CAR,NOR,4,18,0,0,14,32
christian mccafferey,2019,1,CAR,LAR,19,128,2,0,100,33
christian mccafferey,2019,2,CAR,TAM,16,37,0,0,100,34
christian mccafferey,2019,3,CAR,ARI,24,153,1,0,93,35
christian mccafferey,2019,4,CAR,HOU,27,93,1,0,100,36
christian mccafferey,2019,5,CAR,JAX,19,176,2,0,86,37
christian mccafferey,2019,6,CAR,TAM,22,31,1,0,94,38
christian mccafferey,2019,8,CAR,SFO,14,117,1,0,78,39
christian mccafferey,2019,9,CAR,TEN,24,146,2,0,86,40
christian mccafferey,2019,10,CAR,GNB,20,108,1,0,100,41
christian mccafferey,2019,11,CAR,ATL,14,70,0,0,93,42
christian mccafferey,2019,12,CAR,NOR,22,64,1,0,100,43
christian mccafferey,2019,13,CAR,WAS,14,44,0,0,99,44
christian mccafferey,2019,14,CAR,ATL,11,53,0,0,99,45
christian mccafferey,2019,15,CAR,SEA,19,87,2,0,100,46
christian mccafferey,2019,16,CAR,IND,13,54,0,0,90,47
christian mccafferey,2019,17,CAR,NOR,9,26,1,0,72,48
christian mccafferey,2020,1,CAR,LVR,23,97,2,0,97,49
christian mccafferey,2020,2,CAR,TAM,18,59,2,0,64,50
christian mccafferey,2020,3,CAR,LAC,0,0,0,0,0,51
christian mccafferey,2020,4,CAR,ARI,0,0,0,0,0,52
christian mccafferey,2020,5,CAR,ATL,0,0,0,0,0,53
christian mccafferey,2020,6,CAR,CHI,0,0,0,0,0,54
christian mccafferey,2020,7,CAR,NOR,0,0,0,0,0,55
christian mccafferey,2020,8,CAR,ATL,0,0,0,0,0,56
christian mccafferey,2020,9,CAR,KAN,18,69,1,0,71,57
christian mccafferey,2020,10,CAR,TAM,0,0,0,0,0,58
christian mccafferey,2020,11,CAR,DET,0,0,0,0,0,59
christian mccafferey,2020,12,CAR,MIN,0,0,0,0,0,60
christian mccafferey,2020,14,CAR,DEN,0,0,0,0,0,61
christian mccafferey,2020,15,CAR,GNB,0,0,0,0,0,62
christian mccafferey,2020,16,CAR,WAS,0,0,0,0,0,63
christian mccafferey,2020,17,CAR,NOR,0,0,0,0,0,64
christian mccafferey,2021,1,CAR,NYJ,21,98,0,0,89,65
christian mccafferey,2021,2,CAR,NOR,24,72,1,0,71,66
christian mccafferey,2021,3,CAR,HOU,7,31,0,0,30,67
christian mccafferey,2021,4,CAR,DAL,0,0,0,0,0,68
christian mccafferey,2021,5,CAR,PHI,0,0,0,0,0,69
christian mccafferey,2021,6,CAR,MIN,0,0,0,0,0,70
christian mccafferey,2021,7,CAR,NYG,0,0,0,0,0,71
christian mccafferey,2021,8,CAR,ATL,0,0,0,0,0,72
christian mccafferey,2021,9,CAR,NWE,14,52,0,0,49,73
christian mccafferey,2021,10,CAR,ARI,13,95,0,0,59,74
christian mccafferey,2021,11,CAR,WAS,10,59,0,0,90,75
christian mccafferey,2021,12,CAR,MIA,10,35,0,0,36,76
ezekiel elliot,2016,1,DAL,NYG,20,51,1,0,62,1
ezekiel elliot,2016,2,DAL,WAS,21,83,1,1,63,2
ezekiel elliot,2016,3,DAL,CHI,30,140,0,0,75,3
ezekiel elliot,2016,4,DAL,SFO,23,138,1,0,62,4
ezekiel elliot,2016,5,DAL,CIN,15,134,2,0,79,5
ezekiel elliot,2016,6,DAL,GNB,28,157,0,0,91,6
ezekiel elliot,2016,8,DAL,PHI,22,96,0,0,83,7
ezekiel elliot,2016,9,DAL,CLE,18,92,2,0,60,8
ezekiel elliot,2016,10,DAL,PIT,21,114,2,0,66,9
ezekiel elliot,2016,11,DAL,BAL,25,97,0,0,70,10
ezekiel elliot,2016,12,DAL,WAS,20,97,2,0,82,11
